	countryCode	sourceTaxonID	scientificName	name	name_uninomial	name_specific_epithet	name_infra_specific_epithet	name_authorship	taxonKey	occCount	occCountNL	occCountNLspecimen	occCountNLobservation	occCountNLsince2000	occCountNLsince1950
1	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFOOGKTT	Abacoproeces saltuum (L. Koch, 1872)	Abacoproeces saltuum 	Abacoproeces	saltuum		(L. Koch, 1872)	2137144	65	0	0	0	0	0
2	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBQVKCQ	Abax carinatus (Duftschmid, 1812)	Abax carinatus 	Abax	carinatus		(Duftschmid, 1812)	5754745	100	6	6	0	6	6
3	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBQVLVE	Abax ovalis (Duftschmid, 1812)	Abax ovalis 	Abax	ovalis		(Duftschmid, 1812)	5754770	343	7	7	0	7	7
4	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBQVMRK	Abax parallelepipedus (Piller & Mitterpacher, 1783)	Abax parallelepipedus 	Abax	parallelepipedus		(Piller & Mitterpacher, 1783)	5754772	3823	188	24	0	188	188
5	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBQVNNR	Abax parallelus (Duftschmid, 1812)	Abax parallelus 	Abax	parallelus		(Duftschmid, 1812)	5754817	402	45	27	0	45	45
6	NL	http://www.nederlandsesoorten.nl/nsr/concept/069F61C44BE1	Abdera affinis (Paykull, 1799)	Abdera affinis 	Abdera	affinis		(Paykull, 1799)	4453554	237	0	0	0	0	0
7	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBVIVVL	Abdera flexuosa (Paykull, 1799)	Abdera flexuosa 	Abdera	flexuosa		(Paykull, 1799)	4453551	583	1	1	0	1	1
8	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBVIWWE	Abdera triguttata (Gyllenhal, 1810)	Abdera triguttata 	Abdera	triguttata		(Gyllenhal, 1810)	6097803	44	2	2	0	2	2
9	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATDUCD	Abia candens Konow, 1887	Abia candens 	Abia	candens		Konow, 1887	5759487	79	3	2	0	3	3
10	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATDUYJ	Abia fasciata (Linnaeus, 1758)	Abia fasciata 	Abia	fasciata		(Linnaeus, 1758)	5759491	185	5	4	0	5	5
11	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATDVUQ	Abia lonicerae (Linnaeus, 1758)	Abia lonicerae 	Abia	lonicerae		(Linnaeus, 1758)	5759485	19	3	3	0	3	3
12	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATDWQX	Abia sericea (Linnaeus, 1767)	Abia sericea 	Abia	sericea		(Linnaeus, 1767)	5759492	191	8	5	0	8	8
13	NL	http://www.nederlandsesoorten.nl/nsr/concept/000000016028	Abies alba Mill.	Abies alba 	Abies	alba		Mill.	2685484	14637	284	15	1	284	284
14	NL	http://www.nederlandsesoorten.nl/nsr/concept/000000016029	Abies concolor	Abies concolor 	Abies	concolor			2685580	1507	4	2	2	4	4
15	NL	http://www.nederlandsesoorten.nl/nsr/concept/000000016030	Abies grandis (D.Don) Lindl.	Abies grandis 	Abies	grandis		(D.Don) Lindl.	2685361	1665	174	13	0	174	174
16	NL	http://www.nederlandsesoorten.nl/nsr/concept/000000016031	Abies nordmanniana (Steven) Spach	Abies nordmanniana 	Abies	nordmanniana		(Steven) Spach	2685552	537	21	6	0	21	21
17	NL	http://www.nederlandsesoorten.nl/nsr/concept/000000016032	Abies pinsapo	Abies pinsapo 	Abies	pinsapo			2685464	542	3	3	0	3	3
18	NL	http://www.nederlandsesoorten.nl/nsr/concept/000000016033	Abies procera	Abies procera 	Abies	procera			2685308	657	2	2	0	2	2
19	NL	http://www.nederlandsesoorten.nl/nsr/concept/000000016034	Abies veitchii Lindl.	Abies veitchii 	Abies	veitchii		Lindl.	2685400	70	9	1	0	9	9
20	NL	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11280	Abietinaria abietina (Linnaeus, 1758)	Abietinaria abietina 	Abietinaria	abietina		(Linnaeus, 1758)	2269258	2469	22	21	0	22	22
21	NL	http://www.nederlandsesoorten.nl/nsr/concept/07E65E7F4BAB	Abietinaria filicula (Ellis & Solander, 1786)	Abietinaria filicula 	Abietinaria	filicula		(Ellis & Solander, 1786)	2269252	163	0	0	0	0	0
