	sourceTaxonID	scientificName	name	name_uninomial	name_specific_epithet	name_infra_specific_epithet	name_authorship	taxonKey	occCount	countryCode	occCountNL	occCountNLspecimen	occCountNLobservation	occCountNLsince2000	occCountNLsince1950
1	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFOOGKTT	Abacoproeces saltuum (L. Koch, 1872)	Abacoproeces saltuum 	Abacoproeces	saltuum		(L. Koch, 1872)	2137144	65	NL	0	0	0	0	0
2	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBQVKCQ	Abax carinatus (Duftschmid, 1812)	Abax carinatus 	Abax	carinatus		(Duftschmid, 1812)	5754745	100	NL	6	6	0	6	6
3	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBQVLVE	Abax ovalis (Duftschmid, 1812)	Abax ovalis 	Abax	ovalis		(Duftschmid, 1812)	5754770	343	NL	7	7	0	7	7
4	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBQVMRK	Abax parallelepipedus (Piller & Mitterpacher, 1783)	Abax parallelepipedus 	Abax	parallelepipedus		(Piller & Mitterpacher, 1783)	5754772	3823	NL	188	24	0	188	188
5	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBQVNNR	Abax parallelus (Duftschmid, 1812)	Abax parallelus 	Abax	parallelus		(Duftschmid, 1812)	5754817	402	NL	45	27	0	45	45
6	http://www.nederlandsesoorten.nl/nsr/concept/069F61C44BE1	Abdera affinis (Paykull, 1799)	Abdera affinis 	Abdera	affinis		(Paykull, 1799)	4453554	237	NL	0	0	0	0	0
7	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBVIVVL	Abdera flexuosa (Paykull, 1799)	Abdera flexuosa 	Abdera	flexuosa		(Paykull, 1799)	4453551	583	NL	1	1	0	1	1
8	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBVIWWE	Abdera triguttata (Gyllenhal, 1810)	Abdera triguttata 	Abdera	triguttata		(Gyllenhal, 1810)	6097803	44	NL	2	2	0	2	2
9	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATDUCD	Abia candens Konow, 1887	Abia candens 	Abia	candens		Konow, 1887	5759487	79	NL	3	2	0	3	3
10	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATDUYJ	Abia fasciata (Linnaeus, 1758)	Abia fasciata 	Abia	fasciata		(Linnaeus, 1758)	5759491	185	NL	5	4	0	5	5
11	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATDVUQ	Abia lonicerae (Linnaeus, 1758)	Abia lonicerae 	Abia	lonicerae		(Linnaeus, 1758)	5759485	19	NL	3	3	0	3	3
12	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATDWQX	Abia sericea (Linnaeus, 1767)	Abia sericea 	Abia	sericea		(Linnaeus, 1767)	5759492	191	NL	8	5	0	8	8
13	http://www.nederlandsesoorten.nl/nsr/concept/000000016028	Abies alba Mill.	Abies alba 	Abies	alba		Mill.	2685484	14637	NL	284	15	1	284	284
14	http://www.nederlandsesoorten.nl/nsr/concept/000000016029	Abies concolor	Abies concolor 	Abies	concolor			2685580	1507	NL	4	2	2	4	4
15	http://www.nederlandsesoorten.nl/nsr/concept/000000016030	Abies grandis (D.Don) Lindl.	Abies grandis 	Abies	grandis		(D.Don) Lindl.	2685361	1665	NL	174	13	0	174	174
16	http://www.nederlandsesoorten.nl/nsr/concept/000000016031	Abies nordmanniana (Steven) Spach	Abies nordmanniana 	Abies	nordmanniana		(Steven) Spach	2685552	537	NL	21	6	0	21	21
17	http://www.nederlandsesoorten.nl/nsr/concept/000000016032	Abies pinsapo	Abies pinsapo 	Abies	pinsapo			2685464	542	NL	3	3	0	3	3
18	http://www.nederlandsesoorten.nl/nsr/concept/000000016033	Abies procera	Abies procera 	Abies	procera			2685308	657	NL	2	2	0	2	2
19	http://www.nederlandsesoorten.nl/nsr/concept/000000016034	Abies veitchii Lindl.	Abies veitchii 	Abies	veitchii		Lindl.	2685400	70	NL	9	1	0	9	9
20	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11280	Abietinaria abietina (Linnaeus, 1758)	Abietinaria abietina 	Abietinaria	abietina		(Linnaeus, 1758)	2269258	2469	NL	22	21	0	22	22
21	http://www.nederlandsesoorten.nl/nsr/concept/07E65E7F4BAB	Abietinaria filicula (Ellis & Solander, 1786)	Abietinaria filicula 	Abietinaria	filicula		(Ellis & Solander, 1786)	2269252	163	NL	0	0	0	0	0
22	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBECWIG	Ablabesmyia longistyla Fittkau, 1962	Ablabesmyia longistyla 	Ablabesmyia	longistyla		Fittkau, 1962	1450425	4342	NL	4214	0	4214	4214	4214
23	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBECXIY	Ablabesmyia monilis (Linnaeus, 1758)	Ablabesmyia monilis 	Ablabesmyia	monilis		(Linnaeus, 1758)	1450453	1611	NL	1530	0	1530	1530	1530
24	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBECYJR	Ablabesmyia phatta (Egger, 1863)	Ablabesmyia phatta 	Ablabesmyia	phatta		(Egger, 1863)	1450478	1947	NL	1899	0	1899	1899	1899
25	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBWPWEB	Ablattaria laevigata (Fabricius, 1775)	Ablattaria laevigata 	Ablattaria	laevigata		(Fabricius, 1775)	4448415	134	NL	10	10	0	10	10
26	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBAQEBG	Ablaxia megachlora (Walker, 1835)	Ablaxia megachlora 	Ablaxia	megachlora		(Walker, 1835)	1394905	0	NL	0	0	0	0	0
27	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBAQFBZ	Ablaxia parviclava (Thomson, 1878)	Ablaxia parviclava 	Ablaxia	parviclava		(Thomson, 1878)	1394914	1	NL	0	0	0	0	0
28	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBAQFYF	Ablaxia squamifera (Thomson, 1878)	Ablaxia squamifera 	Ablaxia	squamifera		(Thomson, 1878)	1394907	0	NL	0	0	0	0	0
29	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI02427	Ablechroiulus ciliatus (Fuchs, 1931)	Ablechroiulus ciliatus 	Ablechroiulus	ciliatus		(Fuchs, 1931)	4558397	0	NL	0	0	0	0	0
30	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI02426	Ablechroiulus lacustris Micoletzky, 1913	Ablechroiulus lacustris 	Ablechroiulus	lacustris		Micoletzky, 1913	4558405	0	NL	0	0	0	0	0
31	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI04133	Abludomelita obtusata (Montagu, 1813)	Abludomelita obtusata 	Abludomelita	obtusata		(Montagu, 1813)	2215986	420	NL	62	0	32	62	62
32	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASAEGO	Abortiporus biennis (Bull.) Singer, 1944	Abortiporus biennis 	Abortiporus	biennis		(Bull.) Singer, 1944	2544114	511	NL	4	1	0	4	4
33	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASAHFC	Abortiporus wynnei (Berk. & Broome) Rauschert, 1988	Abortiporus wynnei 	Abortiporus	wynnei		(Berk. & Broome) Rauschert, 1988	3566229	227	NL	0	0	0	0	0
34	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11430	Abra alba (Wood, 1802)	Abra alba 	Abra	alba		(Wood, 1802)	5189061	8661	NL	685	62	249	685	685
35	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11432	Abra nitida (Mªller, 1776)	Abra nitida 	Abra	nitida		(Mªller, 1776)	5189057	7943	NL	187	1	123	187	187
36	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11431	Abra prismatica (Montagu, 1808)	Abra prismatica 	Abra	prismatica		(Montagu, 1808)	5189053	2638	NL	85	15	0	85	85
37	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11774	Abra tenuis (Montagu, 1803)	Abra tenuis 	Abra	tenuis		(Montagu, 1803)	5189054	695	NL	117	29	59	117	117
38	http://www.nederlandsesoorten.nl/nsr/concept/0D71EF894631	Abrachyglossum capitatum (Loew, 1874)	Abrachyglossum capitatum 	Abrachyglossum	capitatum		(Loew, 1874)	1568205	0	NL	0	0	0	0	0
39	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBUOVUG	Abraeus granulum Erichson, 1839	Abraeus granulum 	Abraeus	granulum		Erichson, 1839	4433517	162	NL	2	2	0	2	2
40	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBUOWUZ	Abraeus parvulus Aub_, 1842	Abraeus parvulus 	Abraeus	parvulus		Aub_, 1842	4433515	10	NL	0	0	0	0	0
41	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBUOXVR	Abraeus perpusillus (Marsham, 1802)	Abraeus perpusillus 	Abraeus	perpusillus		(Marsham, 1802)	4433510	504	NL	0	0	0	0	0
42	http://www.nederlandsesoorten.nl/nsr/concept/000455863548	Abramis brama (Linnaeus, 1758)	Abramis brama 	Abramis	brama		(Linnaeus, 1758)	2363408	122644	NL	86236	12	16	86236	86236
43	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCJJFWR	Abraxas grossulariata (Linnaeus, 1758)	Abraxas grossulariata 	Abraxas	grossulariata		(Linnaeus, 1758)	1967873	10588	NL	179	94	0	179	179
44	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCJJILL	Abraxas sylvata (Scopoli, 1763)	Abraxas sylvata 	Abraxas	sylvata		(Scopoli, 1763)	1967815	4563	NL	37	34	0	37	37
45	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCLMHFU	Abrostola tripartita (Hufnagel, 1766)	Abrostola tripartita 	Abrostola	tripartita		(Hufnagel, 1766)	1767625	19350	NL	246	39	0	246	246
46	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCLMIGM	Abrostola triplasia (Linnaeus, 1758)	Abrostola triplasia 	Abrostola	triplasia		(Linnaeus, 1758)	1767597	12056	NL	127	62	0	127	127
47	http://www.nederlandsesoorten.nl/nsr/concept/069089B04F6F	Abrothallus acetabuli Diederich, 1990	Abrothallus acetabuli 	Abrothallus	acetabuli		Diederich, 1990	3475389	95	NL	83	0	0	83	83
48	http://www.nederlandsesoorten.nl/nsr/concept/019D080E4FB6	Abrothallus bertianus De Not., 1849	Abrothallus bertianus 	Abrothallus	bertianus		De Not., 1849	2592381	223	NL	0	0	0	0	0
49	http://www.nederlandsesoorten.nl/nsr/concept/0658CCE74927	Abrothallus caerulescens Kotte, 1909	Abrothallus caerulescens 	Abrothallus	caerulescens		Kotte, 1909	2592373	77	NL	1	1	0	1	1
50	http://www.nederlandsesoorten.nl/nsr/concept/0B6A6A044D7A	Abrothallus microspermus Tul., 1852	Abrothallus microspermus 	Abrothallus	microspermus		Tul., 1852	2592379	206	NL	0	0	0	0	0
51	http://www.nederlandsesoorten.nl/nsr/concept/04CA84254007	Abrothallus suecicus (Kirschst.) Nordin, 1964	Abrothallus suecicus 	Abrothallus	suecicus		(Kirschst.) Nordin, 1964	2592384	82	NL	0	0	0	0	0
52	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFBSFYHB	Absconditella delutula (Nyl.) Coppins & H. Kilias	Absconditella delutula 	Absconditella	delutula		(Nyl.) Coppins & H. Kilias	2603180	90	NL	11	0	0	11	11
53	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFBSFZBN	Absconditella fossarum Vezda & PisÒt	Absconditella fossarum 	Absconditella	fossarum		Vezda & PisÒt	3420348	0	NL	0	0	0	0	0
54	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFBSFZWL	Absconditella lignicola Vezda & PisÒt	Absconditella lignicola 	Absconditella	lignicola		Vezda & PisÒt	2603178	164	NL	1	0	0	1	1
55	http://www.nederlandsesoorten.nl/nsr/concept/000486669965	Absconditella pauxilla Vezda & Vivant	Absconditella pauxilla 	Absconditella	pauxilla		Vezda & Vivant	2603179	26	NL	1	1	0	1	1
56	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFBSGBMH	Absconditella sphagnorum Vezda & Poelt	Absconditella sphagnorum 	Absconditella	sphagnorum		Vezda & Poelt	2603172	71	NL	0	0	0	0	0
57	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFBSGCHF	Absconditella trivialis (Willey ex Tuck.) Vezda	Absconditella trivialis 	Absconditella	trivialis		(Willey ex Tuck.) Vezda	2603174	60	NL	1	0	0	1	1
58	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASAINV	Absidia coerulea Bainier, 1889	Absidia coerulea 	Absidia	coerulea		Bainier, 1889	5250625	0	NL	0	0	0	0	0
59	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASAJBQ	Absidia corymbifera (Cohn) Sacc. & Trotter	Absidia corymbifera 	Absidia	corymbifera		(Cohn) Sacc. & Trotter	2558326	1	NL	1	0	0	1	1
60	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASAJPW	Absidia cylindrospora	Absidia cylindrospora 	Absidia	cylindrospora			3385768	1	NL	1	0	0	1	1
61	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASAPTR	Absidia spinosa	Absidia spinosa 	Absidia	spinosa			3385789	0	NL	1	0	0	1	1
62	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATHKKB	Absyrtus vicinator (Thunberg, 1824)	Absyrtus vicinator 	Absyrtus	vicinator		(Thunberg, 1824)	1280178	20	NL	7	7	0	7	7
63	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFCERZXO	Abutilon theophrasti Medik.	Abutilon theophrasti 	Abutilon	theophrasti		Medik.	3152614	2630	NL	142	132	0	142	142
64	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFATHLYC	Acaenitus dubitator (Panzer, 1800)	Acaenitus dubitator 	Acaenitus	dubitator		(Panzer, 1800)	1306626	4	NL	4	4	0	4	4
65	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI10197	Acalitus brevitarsus (Fockeu, 1890)	Acalitus brevitarsus 	Acalitus	brevitarsus		(Fockeu, 1890)	4544242	20	NL	0	0	0	0	0
66	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI10198	Acalitus calycophthirus (Nalepa, 1891)	Acalitus calycophthirus 	Acalitus	calycophthirus		(Nalepa, 1891)	4544252	2	NL	0	0	0	0	0
67	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI10199	Acalitus longisetosus (Nalepa, 1892)	Acalitus longisetosus 	Acalitus	longisetosus		(Nalepa, 1892)	4544254	8	NL	0	0	0	0	0
68	http://www.nederlandsesoorten.nl/nsr/concept/0NMBPP6NBB0W	Acalitus phloeocoptes (Nalepa, 1890)	Acalitus phloeocoptes 	Acalitus	phloeocoptes		(Nalepa, 1890)	4544256	0	NL	0	0	0	0	0
69	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI10200	Acalitus rudis (Canestrini, 1890)	Acalitus rudis 	Acalitus	rudis		(Canestrini, 1890)	4544240	57	NL	0	0	0	0	0
70	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI10201	Acalitus stenaspis (Nalepa, 1891)	Acalitus stenaspis 	Acalitus	stenaspis		(Nalepa, 1891)	4544248	35	NL	0	0	0	0	0
71	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSYCXE	Acalles dubius Solari & Solari, 1907	Acalles dubius 	Acalles	dubius		Solari & Solari, 1907	1211638	26	NL	0	0	0	0	0
72	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSYCAL	Acalles fallax Boheman, 1844	Acalles fallax 	Acalles	fallax		Boheman, 1844	1211637	36	NL	0	0	0	0	0
73	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSYEUD	Acalles lemur (Germar, 1824)	Acalles lemur 	Acalles	lemur		(Germar, 1824)	1211553	179	NL	0	0	0	0	0
74	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSYFQK	Acalles misellus Boheman, 1844	Acalles misellus 	Acalles	misellus		Boheman, 1844	1211839	204	NL	3	0	0	3	3
75	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSYGRC	Acalles parvulus Boheman, 1837	Acalles parvulus 	Acalles	parvulus		Boheman, 1837	1211663	36	NL	2	0	0	2	2
76	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBSYHNJ	Acalles ptinoides (Marsham, 1802)	Acalles ptinoides 	Acalles	ptinoides		(Marsham, 1802)	1211556	334	NL	8	1	0	8	8
77	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCOJR	Acalypta carinata (Panzer, 1806)	Acalypta carinata 	Acalypta	carinata		(Panzer, 1806)	2020737	368	NL	2	0	0	2	2
78	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCPKJ	Acalypta gracilis (Fieber, 1844)	Acalypta gracilis 	Acalypta	gracilis		(Fieber, 1844)	4488996	105	NL	0	0	0	0	0
79	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCQLC	Acalypta marginata (Wolff, 1804)	Acalypta marginata 	Acalypta	marginata		(Wolff, 1804)	4489008	211	NL	0	0	0	0	0
80	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCRMG	Acalypta musci (Schrank, 1781)	Acalypta musci 	Acalypta	musci		(Schrank, 1781)	4488988	152	NL	0	0	0	0	0
81	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSIDCSMY	Acalypta nigrina (Fall_n, 1807)	Acalypta nigrina 	Acalypta	nigrina		(Fall_n, 1807)	4488999	192	NL	0	0	0	0	0
